Fecha;Codigo;Nombre;Categoria;Ventas 
28/01/2024;92;Tapabocas quirurgico;Salud;9
28/01/2024;91;Bolsa de esponja;Salud;7
28/01/2024;23;Mesa de manipulacion;Educacion;9
28/01/2024;6;Jugo;Alimentacion;7
28/01/2024;55;Repetidor de Red Wifi;Hogar;10
28/01/2024;14;Zanahorias;Alimentacion;2
28/01/2024;85;Tijeras quirurgicas;Salud;6
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;3
28/01/2024;60;Dispositivos Amazon;Hogar;5
28/01/2024;28;Sobre para proteger cosas peque単as;Educacion;5
28/01/2024;22;Resorte flexifilo;Educacion;7
28/01/2024;24;Fondo de colores para bolsa;Educacion;10
28/01/2024;14;Zanahorias;Alimentacion;9
28/01/2024;28;Sobre para proteger cosas peque単as;Educacion;2
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;2
28/01/2024;94;Bota de piel de cordero;Salud;6
28/01/2024;38;Set de accesorios para bolsa;Educacion;8
28/01/2024;55;Repetidor de Red Wifi;Hogar;10
28/01/2024;97;Colirios;Salud;1
28/01/2024;26;Escobilla de acero inoxidable;Educacion;4
28/01/2024;35;Tiras adhesivas para coser;Educacion;10
28/01/2024;73;Chaqueta acolchada en gabardina;Vestimenta;4
28/01/2024;26;Escobilla de acero inoxidable;Educacion;9
28/01/2024;82;Bisturi;Salud;8
28/01/2024;87;Aguja de hilo dental;Salud;10
28/01/2024;66;Camisa blanca en algodon y seda;Vestimenta;4
28/01/2024;20;Mermelada;Alimentacion;8
28/01/2024;36;Kit de reposteria basica;Educacion;6
28/01/2024;35;Tiras adhesivas para coser;Educacion;4
28/01/2024;11;Aceite;Alimentacion;7
28/01/2024;86;Tenacillas de pellizcar;Salud;10
28/01/2024;81;Pinzas dentales;Salud;5
28/01/2024;16;Ensalada;Alimentacion;7
28/01/2024;4;Galletas;Alimentacion;8
28/01/2024;33;Paleta para colorear;Educacion;5
28/01/2024;93;Guantes esteriles;Salud;5
28/01/2024;54;Vaporizador de leche electrico;Hogar;10
28/01/2024;39;Bolsa para zapatos;Educacion;5
28/01/2024;79;Zapatillas casuales en tela sintetica;Vestimenta;7
28/01/2024;32;Panel de aluminio para cubierta;Educacion;4
28/01/2024;29;Marcador;Educacion;2
28/01/2024;17;Tomates;Alimentacion;4
28/01/2024;27;Bolsa de plastico;Educacion;7
28/01/2024;13;Pollo;Alimentacion;1
28/01/2024;94;Bota de piel de cordero;Salud;1
28/01/2024;5;Cerveza;Alimentacion;4
28/01/2024;98;Agujero de alfiler;Salud;8
28/01/2024;80;Zapatos de vestir en cuero y acero;Vestimenta;7
28/01/2024;1;Mani;Alimentacion;4
28/01/2024;16;Ensalada;Alimentacion;5
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;2
28/01/2024;73;Chaqueta acolchada en gabardina;Vestimenta;1
28/01/2024;14;Zanahorias;Alimentacion;9
28/01/2024;87;Aguja de hilo dental;Salud;9
28/01/2024;63;Blazer ejecutivo en gabardina o algodon mezclado;Vestimenta;4
28/01/2024;27;Bolsa de plastico;Educacion;8
28/01/2024;49;Dispositivos de ahorro de energia;Hogar;1
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;4
28/01/2024;3;Queso;Alimentacion;7
28/01/2024;8;Sopa de Tomate;Alimentacion;7
28/01/2024;82;Bisturi;Salud;3
28/01/2024;81;Pinzas dentales;Salud;8
28/01/2024;89;Vaso de Kidd;Salud;9
28/01/2024;18;Fideos;Alimentacion;1
28/01/2024;50;Productos de depilacion;Hogar;4
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;1
28/01/2024;76;Vestido casual en algodon y fibra sintetica;Vestimenta;5
28/01/2024;3;Queso;Alimentacion;9
28/01/2024;24;Fondo de colores para bolsa;Educacion;10
28/01/2024;20;Mermelada;Alimentacion;6
28/01/2024;79;Zapatillas casuales en tela sintetica;Vestimenta;8
28/01/2024;61;Traje ejecutivo en algodon y seda;Vestimenta;2
28/01/2024;63;Blazer ejecutivo en gabardina o algodon mezclado;Vestimenta;2
28/01/2024;73;Chaqueta acolchada en gabardina;Vestimenta;9
28/01/2024;32;Panel de aluminio para cubierta;Educacion;6
28/01/2024;86;Tenacillas de pellizcar;Salud;8
28/01/2024;68;Camisa sport en algodon;Vestimenta;5
28/01/2024;15;Carne;Alimentacion;5
28/01/2024;64;Traje de lujo en fibra sintetica y lana;Vestimenta;9
28/01/2024;100;Compresa;Salud;7
28/01/2024;1;Mani;Alimentacion;6
28/01/2024;67;Camisa cuadriculada en algodon;Vestimenta;8
28/01/2024;74;Prenda de abrigo en fibra sintetica;Vestimenta;1
28/01/2024;92;Tapabocas quirurgico;Salud;6
28/01/2024;30;Boligrafo;Educacion;2
28/01/2024;33;Paleta para colorear;Educacion;6
28/01/2024;22;Resorte flexifilo;Educacion;3
28/01/2024;31;Lapiz;Educacion;8
28/01/2024;24;Fondo de colores para bolsa;Educacion;8
28/01/2024;94;Bota de piel de cordero;Salud;3
28/01/2024;91;Bolsa de esponja;Salud;8
28/01/2024;42;Recortador de barba;Hogar;4
28/01/2024;61;Traje ejecutivo en algodon y seda;Vestimenta;3
28/01/2024;41;Cama para mascotas;Hogar;3
28/01/2024;88;Espatula;Salud;4
28/01/2024;97;Colirios;Salud;10
28/01/2024;50;Productos de depilacion;Hogar;7
28/01/2024;19;Yogur;Alimentacion;9
28/01/2024;85;Tijeras quirurgicas;Salud;4
28/01/2024;5;Cerveza;Alimentacion;2
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;3
28/01/2024;56;Decoracion tematica espacial;Hogar;6
28/01/2024;93;Guantes esteriles;Salud;5
28/01/2024;80;Zapatos de vestir en cuero y acero;Vestimenta;4
28/01/2024;33;Paleta para colorear;Educacion;3
28/01/2024;20;Mermelada;Alimentacion;2
28/01/2024;94;Bota de piel de cordero;Salud;7
28/01/2024;32;Panel de aluminio para cubierta;Educacion;7
28/01/2024;45;Ropa deportiva;Hogar;2
28/01/2024;65;Traje de baile en algodon;Vestimenta;10
28/01/2024;43;Accesorios para dispositivos moviles;Hogar;8
28/01/2024;89;Vaso de Kidd;Salud;9
28/01/2024;91;Bolsa de esponja;Salud;4
28/01/2024;24;Fondo de colores para bolsa;Educacion;4
28/01/2024;44;Gel hidroalcoholico;Hogar;6
28/01/2024;54;Vaporizador de leche electrico;Hogar;4
28/01/2024;15;Carne;Alimentacion;8
28/01/2024;100;Compresa;Salud;7
28/01/2024;95;Gasa;Salud;2
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;8
28/01/2024;57;Mini proyector para telefono movil;Hogar;9
28/01/2024;12;Papas;Alimentacion;1
28/01/2024;56;Decoracion tematica espacial;Hogar;4
28/01/2024;65;Traje de baile en algodon;Vestimenta;4
28/01/2024;3;Queso;Alimentacion;6
28/01/2024;9;Pescado;Alimentacion;5
28/01/2024;8;Sopa de Tomate;Alimentacion;6
28/01/2024;76;Vestido casual en algodon y fibra sintetica;Vestimenta;3
28/01/2024;18;Fideos;Alimentacion;2
28/01/2024;23;Mesa de manipulacion;Educacion;2
28/01/2024;73;Chaqueta acolchada en gabardina;Vestimenta;5
28/01/2024;40;Guantes de cocina;Educacion;8
28/01/2024;85;Tijeras quirurgicas;Salud;2
28/01/2024;81;Pinzas dentales;Salud;8
28/01/2024;50;Productos de depilacion;Hogar;5
28/01/2024;38;Set de accesorios para bolsa;Educacion;4
28/01/2024;45;Ropa deportiva;Hogar;7
28/01/2024;42;Recortador de barba;Hogar;2
28/01/2024;5;Cerveza;Alimentacion;2
28/01/2024;29;Marcador;Educacion;2
28/01/2024;97;Colirios;Salud;2
28/01/2024;27;Bolsa de plastico;Educacion;6
28/01/2024;28;Sobre para proteger cosas peque単as;Educacion;3
28/01/2024;66;Camisa blanca en algodon y seda;Vestimenta;9
28/01/2024;27;Bolsa de plastico;Educacion;6
28/01/2024;99;Eyedropper;Salud;8
28/01/2024;11;Aceite;Alimentacion;4
28/01/2024;4;Galletas;Alimentacion;7
28/01/2024;65;Traje de baile en algodon;Vestimenta;7
28/01/2024;37;Puzzle;Educacion;9
28/01/2024;11;Aceite;Alimentacion;8
28/01/2024;26;Escobilla de acero inoxidable;Educacion;3
28/01/2024;21;Lamina magnetica;Educacion;1
28/01/2024;30;Boligrafo;Educacion;10
28/01/2024;46;Fajas para el cuerpo;Hogar;10
28/01/2024;100;Compresa;Salud;10
28/01/2024;68;Camisa sport en algodon;Vestimenta;7
28/01/2024;70;Pantalon chino en seda y algodon;Vestimenta;9
28/01/2024;41;Cama para mascotas;Hogar;10
28/01/2024;91;Bolsa de esponja;Salud;7
28/01/2024;95;Gasa;Salud;7
28/01/2024;86;Tenacillas de pellizcar;Salud;6
28/01/2024;80;Zapatos de vestir en cuero y acero;Vestimenta;4
28/01/2024;26;Escobilla de acero inoxidable;Educacion;2
28/01/2024;70;Pantalon chino en seda y algodon;Vestimenta;2
28/01/2024;59;Controlador de porciones de comida;Hogar;3
28/01/2024;34;Juego de maletas plasticas;Educacion;6
28/01/2024;65;Traje de baile en algodon;Vestimenta;6
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;4
28/01/2024;99;Eyedropper;Salud;6
28/01/2024;77;Bolsa de mano en cuero de cabra;Vestimenta;5
28/01/2024;38;Set de accesorios para bolsa;Educacion;3
28/01/2024;21;Lamina magnetica;Educacion;5
28/01/2024;52;Gadgets;Hogar;7
28/01/2024;95;Gasa;Salud;8
28/01/2024;14;Zanahorias;Alimentacion;1
28/01/2024;81;Pinzas dentales;Salud;7
28/01/2024;98;Agujero de alfiler;Salud;10
28/01/2024;67;Camisa cuadriculada en algodon;Vestimenta;3
28/01/2024;75;Vestido largo en seda;Vestimenta;10
28/01/2024;62;Chaleco ejecutivo en seda;Vestimenta;3
28/01/2024;100;Compresa;Salud;4
28/01/2024;99;Eyedropper;Salud;6
28/01/2024;26;Escobilla de acero inoxidable;Educacion;2
28/01/2024;30;Boligrafo;Educacion;10
28/01/2024;71;Frac de smoking en algodon;Vestimenta;3
28/01/2024;43;Accesorios para dispositivos moviles;Hogar;9
28/01/2024;45;Ropa deportiva;Hogar;3
28/01/2024;9;Pescado;Alimentacion;9
28/01/2024;70;Pantalon chino en seda y algodon;Vestimenta;9
28/01/2024;46;Fajas para el cuerpo;Hogar;6
28/01/2024;19;Yogur;Alimentacion;2
28/01/2024;48;Guantes de nitrilo;Hogar;3
28/01/2024;15;Carne;Alimentacion;8
28/01/2024;58;Libros;Hogar;2
28/01/2024;20;Mermelada;Alimentacion;4
28/01/2024;39;Bolsa para zapatos;Educacion;7
28/01/2024;25;Pinzas para recortar papel;Educacion;3
28/01/2024;77;Bolsa de mano en cuero de cabra;Vestimenta;8
28/01/2024;50;Productos de depilacion;Hogar;9
28/01/2024;18;Fideos;Alimentacion;6
28/01/2024;63;Blazer ejecutivo en gabardina o algodon mezclado;Vestimenta;5
28/01/2024;36;Kit de reposteria basica;Educacion;5
28/01/2024;6;Jugo;Alimentacion;3
28/01/2024;2;Atun;Alimentacion;9
28/01/2024;87;Aguja de hilo dental;Salud;5
28/01/2024;17;Tomates;Alimentacion;8
28/01/2024;41;Cama para mascotas;Hogar;2
28/01/2024;89;Vaso de Kidd;Salud;7
28/01/2024;18;Fideos;Alimentacion;8
28/01/2024;13;Pollo;Alimentacion;9
28/01/2024;38;Set de accesorios para bolsa;Educacion;3
28/01/2024;89;Vaso de Kidd;Salud;3
28/01/2024;41;Cama para mascotas;Hogar;5
28/01/2024;91;Bolsa de esponja;Salud;4
28/01/2024;40;Guantes de cocina;Educacion;2
28/01/2024;12;Papas;Alimentacion;7
28/01/2024;63;Blazer ejecutivo en gabardina o algodon mezclado;Vestimenta;10
28/01/2024;81;Pinzas dentales;Salud;2
28/01/2024;67;Camisa cuadriculada en algodon;Vestimenta;4
28/01/2024;69;Pantalon deportivo en algodon;Vestimenta;1
28/01/2024;73;Chaqueta acolchada en gabardina;Vestimenta;1
28/01/2024;39;Bolsa para zapatos;Educacion;7
28/01/2024;63;Blazer ejecutivo en gabardina o algodon mezclado;Vestimenta;6
28/01/2024;78;Bolso de lujo en cuero y seda;Vestimenta;4
28/01/2024;8;Sopa de Tomate;Alimentacion;5
28/01/2024;64;Traje de lujo en fibra sintetica y lana;Vestimenta;3
28/01/2024;82;Bisturi;Salud;5
28/01/2024;84;Forceps;Salud;5
28/01/2024;90;Sifon de borbotones;Salud;1
28/01/2024;76;Vestido casual en algodon y fibra sintetica;Vestimenta;4
28/01/2024;76;Vestido casual en algodon y fibra sintetica;Vestimenta;7
28/01/2024;61;Traje ejecutivo en algodon y seda;Vestimenta;4
28/01/2024;82;Bisturi;Salud;5
28/01/2024;45;Ropa deportiva;Hogar;4
28/01/2024;74;Prenda de abrigo en fibra sintetica;Vestimenta;3
28/01/2024;89;Vaso de Kidd;Salud;9
28/01/2024;54;Vaporizador de leche electrico;Hogar;2
28/01/2024;53;Botellas re utilizables;Hogar;9
28/01/2024;21;Lamina magnetica;Educacion;2
28/01/2024;99;Eyedropper;Salud;3
28/01/2024;89;Vaso de Kidd;Salud;5
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;3
28/01/2024;38;Set de accesorios para bolsa;Educacion;2
28/01/2024;74;Prenda de abrigo en fibra sintetica;Vestimenta;6
28/01/2024;72;Cami acolchado en fibra sintetica y algodon;Vestimenta;9
28/01/2024;76;Vestido casual en algodon y fibra sintetica;Vestimenta;9
28/01/2024;25;Pinzas para recortar papel;Educacion;8
28/01/2024;98;Agujero de alfiler;Salud;10
28/01/2024;22;Resorte flexifilo;Educacion;7
28/01/2024;35;Tiras adhesivas para coser;Educacion;6
28/01/2024;89;Vaso de Kidd;Salud;10
28/01/2024;87;Aguja de hilo dental;Salud;6
28/01/2024;18;Fideos;Alimentacion;5
28/01/2024;71;Frac de smoking en algodon;Vestimenta;2
28/01/2024;37;Puzzle;Educacion;2
28/01/2024;70;Pantalon chino en seda y algodon;Vestimenta;10
28/01/2024;31;Lapiz;Educacion;7
28/01/2024;86;Tenacillas de pellizcar;Salud;5
28/01/2024;54;Vaporizador de leche electrico;Hogar;9
28/01/2024;22;Resorte flexifilo;Educacion;6
28/01/2024;28;Sobre para proteger cosas peque単as;Educacion;1
28/01/2024;67;Camisa cuadriculada en algodon;Vestimenta;1
28/01/2024;14;Zanahorias;Alimentacion;9
28/01/2024;41;Cama para mascotas;Hogar;5
28/01/2024;18;Fideos;Alimentacion;6
28/01/2024;80;Zapatos de vestir en cuero y acero;Vestimenta;6
28/01/2024;2;Atun;Alimentacion;8
28/01/2024;9;Pescado;Alimentacion;4
28/01/2024;91;Bolsa de esponja;Salud;3
28/01/2024;37;Puzzle;Educacion;2
28/01/2024;46;Fajas para el cuerpo;Hogar;9
28/01/2024;99;Eyedropper;Salud;8
28/01/2024;15;Carne;Alimentacion;6
28/01/2024;15;Carne;Alimentacion;6
28/01/2024;14;Zanahorias;Alimentacion;7
28/01/2024;76;Vestido casual en algodon y fibra sintetica;Vestimenta;8
28/01/2024;87;Aguja de hilo dental;Salud;5
28/01/2024;43;Accesorios para dispositivos moviles;Hogar;7
28/01/2024;82;Bisturi;Salud;5
28/01/2024;69;Pantalon deportivo en algodon;Vestimenta;10
